iter	Passed	Remaining
0	1	115
1	2	104
2	2	96
3	3	90
4	4	85
5	5	83
6	6	82
7	7	81
8	7	80
9	8	79
10	9	78
11	10	76
12	11	74
13	12	74
14	12	71
15	13	69
16	13	67
17	14	66
18	15	65
19	16	65
20	17	64
21	17	63
22	18	62
23	19	61
24	20	60
25	21	60
26	22	60
27	23	59
28	23	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	29	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	32	45
42	33	44
43	33	43
44	34	41
45	34	40
46	35	39
47	35	38
48	36	37
49	37	37
50	37	36
51	38	35
52	39	34
53	39	33
54	40	32
55	40	32
56	41	31
57	42	30
58	43	30
59	43	29
60	44	28
61	45	27
62	46	27
63	46	26
64	47	25
65	48	24
66	49	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	53	18
74	54	18
75	55	17
76	55	16
77	56	15
78	57	15
79	58	14
80	58	13
81	59	13
82	60	12
83	60	11
84	61	10
85	62	10
86	63	9
87	64	8
88	64	7
89	65	7
90	65	6
91	65	5
92	66	4
93	66	4
94	67	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
