iter	Passed	Remaining
0	142	142009
1	143	71757
2	145	48335
3	147	36690
4	149	29757
5	151	25132
6	153	21825
7	155	19339
8	158	17432
9	160	15883
10	162	14601
11	164	13511
12	165	12573
13	167	11776
14	168	11074
15	170	10457
16	171	9897
17	172	9407
18	173	8952
19	174	8546
20	175	8174
21	176	7833
22	177	7519
23	177	7231
24	178	6961
25	179	6712
26	179	6478
27	180	6272
28	181	6069
29	181	5879
30	182	5700
31	182	5534
32	183	5377
33	184	5229
34	184	5087
35	184	4952
36	185	4826
37	185	4705
38	186	4590
39	186	4480
40	187	4375
41	187	4277
42	187	4183
43	188	4093
44	188	4006
45	189	3925
46	189	3845
47	190	3771
48	190	3700
49	191	3631
50	191	3563
51	192	3502
52	192	3440
53	193	3383
54	193	3326
55	194	3271
56	194	3218
57	194	3166
58	195	3117
59	195	3069
60	196	3023
61	196	2979
62	197	2935
63	197	2892
64	198	2852
65	198	2813
66	199	2773
67	199	2736
68	200	2700
69	200	2665
70	201	2630
71	201	2597
72	201	2564
73	202	2531
74	202	2500
75	203	2470
76	203	2440
77	204	2411
78	204	2383
79	204	2355
80	205	2328
81	205	2302
82	205	2274
83	206	2249
84	206	2225
85	207	2201
86	207	2178
87	207	2155
88	208	2132
89	208	2110
90	209	2089
91	209	2069
92	210	2049
93	210	2029
94	211	2010
95	211	1990
96	211	1972
97	212	1953
98	212	1935
99	213	1917
100	213	1900
101	213	1883
102	214	1866
103	214	1849
104	215	1833
105	215	1817
106	215	1802
107	216	1786
108	216	1772
109	217	1757
110	217	1743
111	218	1728
112	218	1714
113	218	1701
114	219	1687
115	219	1674
116	220	1661
117	220	1648
118	221	1636
119	221	1624
120	222	1613
121	222	1601
122	222	1589
123	223	1578
124	223	1567
125	224	1556
126	224	1545
127	225	1535
128	225	1524
129	226	1514
130	226	1503
131	227	1493
132	227	1484
133	228	1474
134	228	1465
135	229	1456
136	229	1447
137	230	1438
138	230	1429
139	231	1421
140	231	1412
141	232	1402
142	232	1394
143	233	1385
144	233	1376
145	233	1368
146	234	1359
147	234	1351
148	235	1342
149	235	1334
150	235	1326
151	236	1318
152	236	1310
153	237	1303
154	237	1295
155	238	1287
156	238	1280
157	238	1272
158	239	1265
159	239	1258
160	239	1250
161	240	1243
162	240	1236
163	241	1229
164	241	1222
165	241	1215
166	242	1209
167	243	1204
168	243	1198
169	244	1192
170	244	1186
171	245	1180
172	245	1174
173	246	1168
174	246	1163
175	247	1157
176	247	1151
177	248	1145
178	248	1140
179	249	1134
180	249	1129
181	249	1123
182	250	1118
183	250	1112
184	251	1107
185	251	1101
186	252	1096
187	252	1091
188	253	1086
189	253	1080
190	253	1075
191	254	1070
192	254	1065
193	255	1060
194	255	1054
195	255	1049
196	256	1044
197	256	1039
198	257	1034
199	257	1029
200	257	1025
201	258	1020
202	258	1016
203	259	1011
204	259	1006
205	260	1002
206	260	998
207	260	993
208	261	989
209	261	984
210	262	980
211	262	976
212	262	971
213	263	967
214	263	963
215	264	959
216	264	954
217	265	950
218	265	946
219	265	942
220	266	938
221	266	934
222	267	930
223	267	926
224	267	922
225	268	918
226	268	914
227	269	911
228	269	907
229	269	903
230	270	899
231	270	896
232	271	892
233	271	888
234	271	885
235	272	881
236	272	878
237	273	874
238	273	871
239	273	867
240	274	864
241	274	860
242	275	857
243	275	853
244	275	850
245	276	847
246	276	843
247	277	840
248	277	837
249	277	833
250	278	830
251	278	827
252	279	824
253	279	820
254	279	817
255	280	814
256	280	811
257	281	808
258	281	805
259	281	802
260	282	799
261	282	796
262	283	793
263	283	790
264	284	787
265	284	784
266	284	781
267	285	779
268	285	776
269	285	773
270	286	770
271	286	767
272	287	764
273	287	762
274	288	759
275	288	756
276	288	753
277	289	751
278	289	748
279	290	745
280	290	743
281	290	740
282	291	737
283	291	735
284	291	732
285	292	730
286	292	727
287	293	724
288	293	722
289	294	719
290	294	717
291	294	714
292	295	712
293	295	710
294	296	707
295	296	705
